"","L_ATC4","ATC4","name_simp"
"1","MEDICAMENTS PROPHYLACTIQUES ANTICARIES","A01AA","FLUOGEL"
"2","MEDICAMENTS PROPHYLACTIQUES ANTICARIES","A01AA","ZYMAFLUOR"
"3","MEDICAMENTS PROPHYLACTIQUES ANTICARIES","A01AA","ZYMADUO"
"4","MEDICAMENTS PROPHYLACTIQUES ANTICARIES","A01AA","FLUOSTEROL"
"5","ANTIINFECTIEUX POUR TRAITEMENT ORAL LOCAL","A01AB","ELUDRILPERIO"
"6","ANTIINFECTIEUX POUR TRAITEMENT ORAL LOCAL","A01AB","CHLORHEXIDINE"
"7","ANTIINFECTIEUX POUR TRAITEMENT ORAL LOCAL","A01AB","ADONTEX"
"8","ANTIINFECTIEUX POUR TRAITEMENT ORAL LOCAL","A01AB","PREXIDINE"
"9","ANTIINFECTIEUX POUR TRAITEMENT ORAL LOCAL","A01AB","PAROEX"
"10","ANTIINFECTIEUX POUR TRAITEMENT ORAL LOCAL","A01AB","DAKTARIN"
"11","ANTIINFECTIEUX POUR TRAITEMENT ORAL LOCAL","A01AB","LORAMYC"
"12","ANTIINFECTIEUX POUR TRAITEMENT ORAL LOCAL","A01AB","CHLORHEX/CHLOROBUT"
"13","ANTIINFECTIEUX POUR TRAITEMENT ORAL LOCAL","A01AB","ELUDRIL"
"14","AUTRES MEDICAMENTS POUR TRAITEMENT ORAL LOCAL","A01AD","ARTISIAL"
"15","ANTIACIDES A BASE D'ALUMINIUM","A02AB","ROCGEL"
"16","ANTIACIDES A BASE D'ALUMINIUM","A02AB","PHOSPHALUGEL"
"17","ASSOCIATIONS ET COMPLEXES A BASE D'ALUMINIUM, DE CALCIUM ET DE MAGNESIUM","A02AD","MOXYDAR"
"18","ASSOCIATIONS ET COMPLEXES A BASE D'ALUMINIUM, DE CALCIUM ET DE MAGNESIUM","A02AD","XOLAAM"
"19","ANTIACIDES AVEC BICARBONATE DE SODIUM","A02AH","BICAFRES"
"20","ANTIACIDES : AUTRES ASSOCIATIONS","A02AX","GELOX"
"21","ANTIACIDES : AUTRES ASSOCIATIONS","A02AX","CARBOSYMAG"
"22","ANTAGONISTES DES RECEPTEURS H2","A02BA","CIMETIDINE"
"23","ANTAGONISTES DES RECEPTEURS H2","A02BA","FAMOTIDINE"
"24","INHIBITEURS DE LA POMPE A PROTONS","A02BC","OMEPRAZOLE"
"25","INHIBITEURS DE LA POMPE A PROTONS","A02BC","IGNAYOL"
"26","INHIBITEURS DE LA POMPE A PROTONS","A02BC","MOPRAL"
"27","INHIBITEURS DE LA POMPE A PROTONS","A02BC","ZOLTUM"
"28","INHIBITEURS DE LA POMPE A PROTONS","A02BC","PANTOPRAZOLE"
"29","INHIBITEURS DE LA POMPE A PROTONS","A02BC","INIPOMP"
"30","INHIBITEURS DE LA POMPE A PROTONS","A02BC","EUPANTOL"
"31","INHIBITEURS DE LA POMPE A PROTONS","A02BC","LANSOPRAZOLE"
"32","INHIBITEURS DE LA POMPE A PROTONS","A02BC","OGAST"
"33","INHIBITEURS DE LA POMPE A PROTONS","A02BC","LANZOR"
"34","INHIBITEURS DE LA POMPE A PROTONS","A02BC","OGASTORO"
"35","INHIBITEURS DE LA POMPE A PROTONS","A02BC","RABEPRAZOLE"
"36","INHIBITEURS DE LA POMPE A PROTONS","A02BC","PARIET"
"37","INHIBITEURS DE LA POMPE A PROTONS","A02BC","ESOMEPRAZOLE"
"38","INHIBITEURS DE LA POMPE A PROTONS","A02BC","INEXIUM"
"39","ASSOCIATIONS POUR L'ERADICATION D'HELICOBACTER PYLORI","A02BD","PYLERA"
"40","AUTRES MEDICAMENTS POUR L'ULCÈRE PEPTIQUE ET LE REFLUX GASTROOESOPHAGIEN (RGO)","A02BX","ALGINATE"
"41","AUTRES MEDICAMENTS POUR L'ULCÈRE PEPTIQUE ET LE REFLUX GASTROOESOPHAGIEN (RGO)","A02BX","SODIUM"
"42","AUTRES MEDICAMENTS POUR L'ULCÈRE PEPTIQUE ET LE REFLUX GASTROOESOPHAGIEN (RGO)","A02BX","GAVISCON"
"43","ANTICHOLINERGIQUES DE SYNTHESE : ESTERS AVEC GROUPEMENT AMINE TERTIAIRE","A03AA","MEBEVERINE"
"44","ANTICHOLINERGIQUES DE SYNTHESE : ESTERS AVEC GROUPEMENT AMINE TERTIAIRE","A03AA","TRIMEBUTINE"
"45","ANTICHOLINERGIQUES DE SYNTHESE : ESTERS AVEC GROUPEMENT AMINE TERTIAIRE","A03AA","DEBRIDAT"
"46","ANTICHOLINERGIQUES DE SYNTHESE : ESTERS AVEC GROUPEMENT AMINE TERTIAIRE","A03AA","TRANSACALM"
"47","AUTRES MEDICAMENTS POUR LES TROUBLES FONCTIONNELS INTESTINAUX","A03AX","DICETEL"
"48","AUTRES MEDICAMENTS POUR LES TROUBLES FONCTIONNELS INTESTINAUX","A03AX","PINAVERIUM"
"49","AUTRES MEDICAMENTS POUR LES TROUBLES FONCTIONNELS INTESTINAUX","A03AX","PHLOROGLUCINOL"
"50","AUTRES MEDICAMENTS POUR LES TROUBLES FONCTIONNELS INTESTINAUX","A03AX","SPASFON"
"51","AUTRES MEDICAMENTS POUR LES TROUBLES FONCTIONNELS INTESTINAUX","A03AX","METEOSPASMYL"
"52","ALCALOIDES HEMISYNTHETIQUES DE LA BELLADONE : AMMONIUMS QUATERNAIRES","A03BB","SCOBUREN"
"53","ANTISPASMODIQUES EN ASSOCIATION AVEC D'AUTRES MEDICAMENTS","A03ED","METEOXANE"
"54","STIMULANTS DE LA MOTRICITE INTESTINALE","A03FA","PRIMPERAN"
"55","STIMULANTS DE LA MOTRICITE INTESTINALE","A03FA","PROKINYL"
"56","STIMULANTS DE LA MOTRICITE INTESTINALE","A03FA","METOCLOPRAMIDE"
"57","STIMULANTS DE LA MOTRICITE INTESTINALE","A03FA","DOMPERIDONE"
"58","STIMULANTS DE LA MOTRICITE INTESTINALE","A03FA","PLITICAN"
"59","ANTAGONISTES DE LA SEROTONINE (5HT3)","A04AA","SETOFILM"
"60","ANTAGONISTES DE LA SEROTONINE (5HT3)","A04AA","ONDANSETRON"
"61","ANTAGONISTES DE LA SEROTONINE (5HT3)","A04AA","ZOPHREN"
"62","ANTAGONISTES DE LA SEROTONINE (5HT3)","A04AA","KYTRIL"
"63","ANTAGONISTES DE LA SEROTONINE (5HT3)","A04AA","AKYNZEO"
"64","AUTRES ANTIEMETIQUES","A04AD","SCOPOLAMINE"
"65","AUTRES ANTIEMETIQUES","A04AD","METOPIMAZINE"
"66","AUTRES ANTIEMETIQUES","A04AD","VOGALENE"
"67","AUTRES ANTIEMETIQUES","A04AD","EMEND"
"68","AUTRES ANTIEMETIQUES","A04AD","APREPITANT"
"69","AUTRES ANTIEMETIQUES","A04AD","ATANTO"
"70","ACIDES BILIAIRES","A05AA","CHOLURSO"
"71","ACIDES BILIAIRES","A05AA","DELURSAN"
"72","ACIDES BILIAIRES","A05AA","ACIDE"
"73","ACIDES BILIAIRES","A05AA","TILLHEPO"
"74","ACIDES BILIAIRES","A05AA","AC"
"75","ACIDES BILIAIRES","A05AA","URSOLVAN"
"76","AUTRES MEDICAMENTS POUR LA THERAPEUTIQUE BILIAIRE","A05AX","LIVMARLI"
"77","AUTRES MEDICAMENTS POUR LA THERAPEUTIQUE BILIAIRE","A05AX","BYLVAY"
"78","THERAPEUTIQUE HEPATIQUE","A05BA","ARGININE"
"79","LAXATIFS LUBRIFIANTS","A06AA","MELAXOSE"
"80","LAXATIFS LUBRIFIANTS","A06AA","TRANSULOSE"
"81","LAXATIFS STIMULANTS","A06AB","CITRAFLEET"
"82","LAXATIFS STIMULANTS","A06AB","PICOPREP"
"83","LAXATIFS DE LEST","A06AC","PSYLIA"
"84","LAXATIFS DE LEST","A06AC","TRANSILANE"
"85","LAXATIFS DE LEST","A06AC","SPAGULAX"
"86","LAXATIFS DE LEST","A06AC","NORMAFIBE"
"87","LAXATIFS OSMOTIQUES","A06AD","IZINOVA"
"88","LAXATIFS OSMOTIQUES","A06AD","RECHOLAN"
"89","LAXATIFS OSMOTIQUES","A06AD","COLOKIT"
"90","LAXATIFS OSMOTIQUES","A06AD","DUPHALAC"
"91","LAXATIFS OSMOTIQUES","A06AD","LACTULOSE"
"92","LAXATIFS OSMOTIQUES","A06AD","IMPORTAL"
"93","LAXATIFS OSMOTIQUES","A06AD","MACROGOL"
"94","LAXATIFS OSMOTIQUES","A06AD","TRANSIPEG"
"95","LAXATIFS OSMOTIQUES","A06AD","XIMEPEG"
"96","LAXATIFS OSMOTIQUES","A06AD","MOVIPREP"
"97","LAXATIFS OSMOTIQUES","A06AD","FORTRANS"
"98","LAXATIFS OSMOTIQUES","A06AD","KLEAN"
"99","LAXATIFS OSMOTIQUES","A06AD","COLOPEG"
"100","LAXATIFS OSMOTIQUES","A06AD","MOVICOL"
"101","LAVEMENTS","A06AG","NORMACOL"
"102","ANTAGONISTES DE RECEPTEURS","A06AH","RELISTOR"
"103","ANTAGONISTES DE RECEPTEURS","A06AH","MOVENTIG"
"104","ANTAGONISTES DE RECEPTEURS","A06AH","RIZMOIC"
"105","AUTRES LAXATIFS","A06AX","EDUCTYL"
"106","ANTIBIOTIQUES","A07AA","MYCOSTATINE"
"107","ANTIBIOTIQUES","A07AA","TIXTAR"
"108","AUTRES ADSORBANTS INTESTINAUX","A07BC","SMECTA"
"109","AUTRES ADSORBANTS INTESTINAUX","A07BC","DIOSMECTITE"
"110","RALENTISSEURS DE LA MOTRICITE INTESTINALE","A07DA","LOPERAMIDE"
"111","RALENTISSEURS DE LA MOTRICITE INTESTINALE","A07DA","IMODIUM"
"112","CORTICOIDES A ACTION LOCALE","A07EA","CORTIFOAM"
"113","CORTICOIDES A ACTION LOCALE","A07EA","BETNESOL"
"114","CORTICOIDES A ACTION LOCALE","A07EA","MIKICORT"
"115","CORTICOIDES A ACTION LOCALE","A07EA","JORVEZA"
"116","CORTICOIDES A ACTION LOCALE","A07EA","BUDESONIDE"
"117","CORTICOIDES A ACTION LOCALE","A07EA","ENTOCORT"
"118","ACIDE AMINOSALICYLIQUE ET ANALOGUES","A07EC","QUADRASA"
"119","ACIDE AMINOSALICYLIQUE ET ANALOGUES","A07EC","SALAZOPYRINE"
